EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 11-07-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 4952,CELLE                                   ,DE  ,+52:35:43,+010:01:41,   39
 4953,PEMFLING-PITZLING                       ,DE  ,+49:15:05,+012:36:20,  389
 4954,CHEMNITZ                                ,DE  ,+50:47:33,+012:52:24,  418
 4955,CHIEMING                                ,DE  ,+47:53:07,+012:32:30,  551
 4956,CLAUSTHAL-ZELLERFELD                    ,DE  ,+51:47:30,+010:20:53,  585
 4957,CLOPPENBURG                             ,DE  ,+52:50:44,+008:03:47,   42
 4958,LAUTERTAL-OBERLAUTER                    ,DE  ,+50:18:29,+010:58:09,  345
 4959,COTTBUS (FLUGPLATZ)                     ,DE  ,+51:46:00,+014:16:59,   68
 4960,CRAILSHEIM-ALEXANDERSREUT               ,DE  ,+49:05:57,+010:05:57,  423
 4961,CRIMMITSCHAU                            ,DE  ,+50:48:57,+012:23:00,  269
 4962,DACHWIG                                 ,DE  ,+51:04:42,+010:51:50,  170
 4963,DARMSTADT                               ,DE  ,+49:52:54,+008:40:39,  162
 4964,DARMSTADT (A)                           ,DE  ,+49:50:47,+008:37:30,  122
 4965,DARMSTADT-BOTANISCHER GARTEN            ,DE  ,+49:52:14,+008:40:50,  169
 4966,ALSFELD-EIFA                            ,DE  ,+50:44:44,+009:20:48,  300
 4967,DEGGENHAUSERTAL-AZENWEILER              ,DE  ,+47:48:06,+009:24:42,  708
 4968,ALSFELD-REIBERTENROD                    ,DE  ,+50:46:13,+009:15:19,  269
 4969,DESSAU                                  ,DE  ,+51:51:09,+012:15:11,   60
 4970,DEUSELBACH                              ,DE  ,+49:45:47,+007:03:20,  481
 4971,DIEPHOLZ                                ,DE  ,+52:35:25,+008:20:47,   39
 4972,DIERFELD                                ,DE  ,+50:05:03,+006:53:27,  413
 4973,DIESBAR-SEUSSLITZ                       ,DE  ,+51:14:29,+013:25:05,  100
 4974,DIETENHOFEN                             ,DE  ,+49:25:01,+010:40:27,  405
 4975,DILLENBURG                              ,DE  ,+50:43:57,+008:15:47,  314
 4976,DILLINGEN/DONAU                         ,DE  ,+48:34:15,+010:29:58,  420
 4977,DILLINGEN/DONAU-FRISTINGEN              ,DE  ,+48:33:25,+010:33:39,  419
 4978,ALTASTENBERG                            ,DE  ,+51:11:25,+008:28:05,  839
 4979,DIPPOLDISWALDE-REINBERG                 ,DE  ,+50:55:05,+013:42:52,  365
 4985,AS - RUSTADSKOGEN                       ,NO  ,+59:40:00,+010:48:00,  120
 4992,NELAUG                                  ,NO  ,+58:39:29,+008:37:53,  142
 4993,LANDVIK                                 ,NO  ,+58:20:24,+008:31:21,    6
 4995,BYKLE - KULTRAN                         ,NO  ,+59:21:06,+007:20:48,  599
 4996,BYGLANDSFJORD                           ,NO  ,+58:40:00,+007:48:00,  207
 4997,BYGLANDSFJORD II                        ,NO  ,+58:39:56,+007:48:42,  206
 4998,BYGLANDSFJORD - SOLBAKKEN               ,NO  ,+58:40:01,+007:48:03,  212
 5000,GOL - STAKE                             ,NO  ,+60:43:09,+008:56:51,  542
 5001,ALTA LUFTHAVN                           ,NO  ,+69:58:39,+023:21:29,    3
 5002,HAMMERFEST LUFTHAVN                     ,NO  ,+70:40:50,+023:40:37,   81
 5003,HONNINGSVAG LUFTHAVN                    ,NO  ,+71:00:38,+025:58:41,   14
 5004,MEHAMN LUFTHAVN                         ,NO  ,+71:01:59,+027:49:46,   13
 5005,BERLEVAG LUFTHAVN                       ,NO  ,+70:52:14,+029:02:04,   13
 5009,VADSO LUFTHAVN                          ,NO  ,+70:03:55,+029:50:07,   39
 5017,HAMAR II                                ,NO  ,+60:48:03,+011:05:52,  132
 5018,HAMAR - STAVSBERG                       ,NO  ,+60:49:05,+011:04:10,  221
 5031,MIDTLAEGER                              ,NO  ,+59:50:02,+006:59:29, 1079
 5032,OPSTVEIT                                ,NO  ,+59:51:29,+006:01:00,   38
 5039,FISKABYGD                               ,NO  ,+62:06:11,+005:34:54,   41
 5040,GRONNING                                ,NO  ,+62:19:44,+007:30:46,  312
 5041,BRUSDALSVATN II                         ,NO  ,+62:27:52,+006:23:45,   27
 5042,HILDRE                                  ,NO  ,+62:36:12,+006:19:26,   13
 5046,SVINOY FYR                              ,NO  ,+62:19:45,+005:16:05,   38
 5047,MOLDE LUFTHAVN                          ,NO  ,+62:44:39,+007:15:42,    3
 5048,KRISTIANSUND - KARIHOLA                 ,NO  ,+63:07:31,+007:42:15,   39
 5049,KRISTIANSUND LUFTHAVN                   ,NO  ,+63:06:33,+007:48:56,   62
 5051,SMOLA - MOLDSTAD                        ,NO  ,+63:25:10,+008:03:47,   30
 5052,ORSTA-VOLDA LUFTHAVN                    ,NO  ,+62:10:51,+006:04:50,   74
 5054,VIGRA                                   ,NO  ,+62:33:42,+006:06:54,   22
 5055,ALVUNDFJORD                             ,NO  ,+62:50:04,+008:31:17,    5
 5056,BRONNOYSUND LUFTHAVN                    ,NO  ,+65:27:24,+012:13:05,    9
 5060,EVENES LUFTHAVN                         ,NO  ,+68:29:27,+016:40:59,   26
 5065,LEKNES LUFTHAVN                         ,NO  ,+68:09:18,+013:36:54,   26
 5066,SANDNESSJOEN LH - STOKKA                ,NO  ,+65:57:38,+012:28:17,   17
 5067,MO I RANA III                           ,NO  ,+66:18:24,+014:09:15,   41
 5069,VALLJORD                                ,NO  ,+67:21:38,+015:35:21,    3
 5070,NARVIK LUFTHAVN                         ,NO  ,+68:26:22,+017:23:18,   31
 5071,SVOLVAER LUFTHAVN                       ,NO  ,+68:14:43,+014:40:09,    9
 5073,STOKMARKNES LH - SKAGEN                 ,NO  ,+68:34:48,+015:01:45,    3
 5074,MO I RANA LUFTHAVN                      ,NO  ,+66:21:51,+014:18:05,   70
 5078,NAMSOS LUFTHAVN                         ,NO  ,+64:28:14,+011:34:14,    2
 5083,SKLINNA FYR                             ,NO  ,+65:12:07,+010:59:47,   23
 5085,VENABU                                  ,NO  ,+61:39:05,+010:06:30,  930
 5089,SOGNEFJELLHYTTA                         ,NO  ,+61:33:52,+007:59:52, 1413
 5093,LOKEN I VOLBU                           ,NO  ,+61:07:18,+009:03:47,  521
 5094,FILEFJELL - KYRKJESTOLANE               ,NO  ,+61:10:41,+008:06:45,  956
 5097,OSLO - VESTLI                           ,NO  ,+59:58:00,+010:55:59,  200
 5098,OSLO - BLINDERN PLU                     ,NO  ,+59:56:31,+010:43:12,   94
 5099,ASKIM II                                ,NO  ,+59:35:13,+011:09:57,  141
 5104,HAUGESUND LUFTHAVN                      ,NO  ,+59:20:58,+005:11:52,   24
 5106,SANDNES - ROVIK                         ,NO  ,+58:51:57,+005:45:43,   19
 5108,SAND I RYFYLKE II                       ,NO  ,+59:28:45,+006:16:33,   25
 5110,NEDRE VATS                              ,NO  ,+59:29:02,+005:45:02,   64
 5112,BORGUND - LO                            ,NO  ,+61:03:32,+007:49:10,  407
 5113,FURENESET                               ,NO  ,+61:17:34,+005:02:39,    7
 5114,FLORO LUFTHAVN                          ,NO  ,+61:34:59,+005:01:40,    9
 5118,SOGNDAL LUFTHAVN                        ,NO  ,+61:09:29,+007:08:29,  497
 5120,SANDANE                                 ,NO  ,+61:47:17,+006:11:00,   51
 5121,SANDANE LUFTHAVN                        ,NO  ,+61:49:45,+006:06:15,   60
 5122,OLJUSJO PUMPEKRAFTVERK                  ,NO  ,+61:00:24,+008:05:27, 1124
 5125,SVELGEN II                              ,NO  ,+61:46:14,+005:17:56,    3
 5127,KONGSVOLL FJELLSTUE                     ,NO  ,+62:18:01,+009:36:14,  934
 5131,BREIVOLL                                ,NO  ,+63:55:04,+010:24:54,   94
 5132,BUHOLMRASA FYR                          ,NO  ,+64:24:05,+010:27:18,   18
 5134,SOVATNET                                ,NO  ,+63:13:49,+009:20:56,  306
 5137,SULA                                    ,NO  ,+63:50:48,+008:28:00,    5
 5138,SULA FYR                                ,NO  ,+63:51:00,+008:28:00,   28
 5139,NY-ALESUND I                            ,NO  ,+78:55:30,+011:55:48,   42
 5140,NY-ALESUND                              ,NO  ,+78:55:23,+011:55:59,    8
 5141,BERGELIGREND                            ,NO  ,+59:53:12,+009:03:32,  514
 5142,MOSSTRAND II                            ,NO  ,+59:50:22,+008:10:45,  977
 5146,SKIEN - GEITERYGGEN                     ,NO  ,+59:10:59,+009:34:00,  136
 5149,HEKKINGEN FYR                           ,NO  ,+69:36:02,+017:50:14,   14
 5150,TROMSO - LANGNES                        ,NO  ,+69:40:36,+018:54:47,    8
 5152,SORKJOSEN LUFTHAVN                      ,NO  ,+69:47:20,+020:57:19,    6
 5153,NORDSTRAUM I KVAENANGEN                 ,NO  ,+69:50:00,+021:53:03,    6
 5154,KRISTIANSAND - SOMSKLEIVA               ,NO  ,+58:09:02,+008:03:10,   12
 5158,TONSTAD - NETTFED                       ,NO  ,+58:39:51,+006:42:32,   55
 5160,MELSOM                                  ,NO  ,+59:13:48,+010:20:53,   26
 5161,TORP                                    ,NO  ,+59:11:03,+010:15:19,   88
 5163,SMYGEHUK                                ,SE  ,+55:20:24,+013:21:36,    5
 5164,FALSTERBO_A                             ,SE  ,+55:22:48,+012:49:12,    5
 5165,MAGLARP                                 ,SE  ,+55:22:48,+013:03:36,   17
 5166,SANDHAMMAREN                            ,SE  ,+55:23:24,+014:11:24,    4
 5167,JORDBERGA                               ,SE  ,+55:24:36,+013:24:00,   40
 5168,YSTAD                                   ,SE  ,+55:26:24,+013:49:48,   20
 5169,SKILLINGE_A                             ,SE  ,+55:29:24,+014:19:12,    4
 5170,BOLLERUP                                ,SE  ,+55:29:24,+014:03:00,   55
 5171,RYNGE_V                                 ,SE  ,+55:29:24,+013:24:00,   50
 5172,HOKOPINGE                               ,SE  ,+55:30:00,+013:01:12,   17
 5173,STURUP                                  ,SE  ,+55:32:24,+013:22:12,   72
 5174,SIMRISHAMN                              ,SE  ,+55:32:24,+014:21:36,    8
 5175,MALMO                                   ,SE  ,+55:36:36,+013:04:48,   20
 5176,OSKARSGRUNDET_NO                        ,SE  ,+55:36:00,+012:51:36,    1
 5177,MALMO_2                                 ,SE  ,+55:36:00,+012:58:48,    3
 5178,SANKT_OLOF                              ,SE  ,+55:38:24,+014:07:48,  130
 5179,ALNARP                                  ,SE  ,+55:39:00,+013:04:48,   10
 5180,STENSHUVUD                              ,SE  ,+55:39:36,+014:15:36,  112
 5181,BJORKA                                  ,SE  ,+55:42:00,+013:37:48,   32
 5182,LUND_LTH                                ,SE  ,+55:42:36,+013:13:12,   73
 5183,ORTOFTA                                 ,SE  ,+55:46:48,+013:15:00,   20
 5184,HORBY_A                                 ,SE  ,+55:51:36,+013:40:12,  114
 5185,TROLLENAS                               ,SE  ,+55:52:12,+013:15:00,   55
 5186,ORJA                                    ,SE  ,+55:52:48,+012:52:12,   11
 5187,VEN                                     ,SE  ,+55:54:00,+012:43:12,   25
 5188,STEHAG                                  ,SE  ,+55:54:00,+013:24:00,   85
 5189,SVALOV                                  ,SE  ,+55:55:48,+013:03:00,   70
 5190,KRISTIANSTAD_EVEROD                     ,SE  ,+55:55:12,+014:04:48,   17
 5191,UTKLIPPAN                               ,SE  ,+55:57:00,+015:42:00,    3
 5192,RINKABY                                 ,SE  ,+55:58:48,+014:16:12,    7
 5193,KRISTIANSTAD                            ,SE  ,+56:19:48,+014:09:00,   10
 5194,HANO_A                                  ,SE  ,+56:00:36,+014:51:00,   55
 5195,KRISTIANSTAD_V                          ,SE  ,+56:01:12,+014:06:36,   10
 5196,HELSINGBORG_A                           ,SE  ,+56:01:48,+012:46:12,   43
 5197,UNGSKAR                                 ,SE  ,+56:02:24,+015:48:36,    3
 5198,HELSINGBORG                             ,SE  ,+56:02:24,+012:41:24,   43
 5199,KARPALUND                               ,SE  ,+56:03:00,+014:06:00,    4
 5200,OLANDS SODRA GRUND 1                    ,SE  ,+56:04:12,+016:40:48,    1
 5201,LJUNGBYHED                              ,SE  ,+56:04:48,+013:13:48,   43
 5202,HASSLARP                                ,SE  ,+56:07:48,+012:49:12,   10
 5203,KARLSKRONA-SODERSTJ.                    ,SE  ,+56:09:00,+015:35:24,    2
 5204,OLANDS SODRA UDDE                       ,SE  ,+56:12:00,+016:23:59,    2
 5205,OLANDS SODRA UDDE A                     ,SE  ,+56:12:00,+016:23:59,    2
 5206,MARIELUND                               ,SE  ,+56:13:12,+015:31:48,   25
 5207,MUNKA-LJUNGBY                           ,SE  ,+56:13:48,+012:58:48,   20
 5208,NYHAMNSLAGE                             ,SE  ,+56:15:00,+012:32:24,   13
 5209,HASTVEDA_MO                             ,SE  ,+56:16:48,+013:56:24,  103
 5210,KULLEN                                  ,SE  ,+56:18:00,+012:27:00,   72
 5211,OSBY                                    ,SE  ,+56:22:48,+013:58:48,   90
 5212,SKANES_FAGERHULT                        ,SE  ,+56:22:12,+013:28:12,  110
 5213,HUNNESTORP_V                            ,SE  ,+56:23:24,+012:56:24,  140
 5214,HALLANDS_VADERO_A                       ,SE  ,+56:27:00,+012:33:00,   10
 5215,HALLANDS_VADERO                         ,SE  ,+56:27:00,+012:33:00,   10
 5216,RYD                                     ,SE  ,+56:27:00,+014:43:12,  140
 5217,MARKARYD                                ,SE  ,+56:27:36,+013:39:36,  110
 5218,URSHULT-KUNNINGE                        ,SE  ,+56:28:48,+014:48:00,  145
 5219,VISSEFJARDA                             ,SE  ,+56:30:36,+015:37:12,  114
 5220,KNARED                                  ,SE  ,+56:31:12,+013:20:24,   35
 5221,MORBYLANGA                              ,SE  ,+56:31:48,+016:23:24,    5
 5222,TINGSRYD-DEGERHAGA                      ,SE  ,+56:32:24,+014:54:00,  176
 5223,EKEFORS                                 ,SE  ,+56:33:00,+014:45:36,  145
 5224,GENEVAD                                 ,SE  ,+56:34:12,+013:01:48,   20
 5225,RORSBO                                  ,SE  ,+56:36:00,+015:30:36,  130
 5226,OLVINGSTORP                             ,SE  ,+56:37:12,+016:07:12,   15
 5227,EMMABODA                                ,SE  ,+56:37:48,+015:33:00,  150
 5228,OLANDSBRON V                            ,SE  ,+56:39:36,+016:26:24,    5
 5229,KALMAR                                  ,SE  ,+56:40:12,+016:21:00,    7
 5230,HALMSTAD                                ,SE  ,+56:40:12,+012:55:12,   24
 5231,HALMSTAD 1                              ,SE  ,+56:40:48,+012:55:12,   25
 5232,KALMAR_FLYGFLOTTILJ                     ,SE  ,+56:43:48,+016:17:24,    6
 5233,KALMAR_FLYGPLATS                        ,SE  ,+56:40:48,+016:17:24,    6
 5234,HALMSTAD FLYGFLOTTILJ                   ,SE  ,+56:40:48,+012:49:48,   25
 5235,URASA                                   ,SE  ,+56:40:48,+014:57:00,  167
 5236,SIMLANGSDALEN                           ,SE  ,+56:43:12,+013:07:12,   75
 5237,SINGESHULT                              ,SE  ,+56:44:24,+013:21:36,  165
 5238,LESSEBO                                 ,SE  ,+56:45:36,+015:16:12,  162
 5239,EKERUM                                  ,SE  ,+56:46:48,+016:34:47,   40
 5240,LJUNGBY                                 ,SE  ,+56:49:48,+013:57:00,  155
 5241,SKEDEMOSSE                              ,SE  ,+56:50:24,+016:45:00,   25
 5242,KOSTA_MO                                ,SE  ,+56:50:24,+015:28:12,  230
 5243,VAXJO_A                                 ,SE  ,+56:51:00,+014:49:48,  199
 5244,LJUNGBY_A                               ,SE  ,+56:51:00,+013:52:48,  148
 5245,FROSLIDA                                ,SE  ,+56:52:12,+013:04:12,   70
 5246,EFTRA-BROEN_V                           ,SE  ,+56:53:24,+012:40:12,   47
 5247,FALKENBERG                              ,SE  ,+56:54:00,+012:28:48,    5
 5248,HOBURG_A                                ,SE  ,+56:55:12,+018:09:59,   39
 5249,VAXJO-KRONOBERG                         ,SE  ,+56:55:48,+014:43:48,  182
 5250,GLOMMEN                                 ,SE  ,+56:55:48,+012:21:36,    6
 5251,JONSTORP                                ,SE  ,+56:55:48,+012:33:00,   25
 5252,SANDBACKSHULT                           ,SE  ,+57:00:00,+016:17:24,   37
 5253,NASUDDEN                                ,SE  ,+57:04:12,+018:13:12,    5
 5254,VARBERG                                 ,SE  ,+57:06:36,+012:16:12,   20
 5255,GRIMETON                                ,SE  ,+57:06:36,+012:23:24,   25
 5256,ULLARED_A                               ,SE  ,+57:06:36,+012:46:48,  122
 5257,BERG                                    ,SE  ,+57:07:12,+014:41:24,  250
 5258,STORA_SEGERSTAD                         ,SE  ,+57:09:00,+013:33:36,  155
 5259,ASEDA                                   ,SE  ,+57:09:00,+015:24:00,  230
 5260,LAESO_OST_A                             ,SE  ,+57:10:48,+011:31:48,    4
 5261,FAGERED                                 ,SE  ,+57:12:00,+012:48:36,  100
 5262,DRAGERYD                                ,SE  ,+57:12:00,+015:58:12,   77
 5263,BLANKASTROM                             ,SE  ,+57:13:12,+015:55:12,   77
 5264,KALLSJO                                 ,SE  ,+57:13:48,+012:42:00,  154
 5265,HEMSE                                   ,SE  ,+57:14:24,+018:22:48,   25
 5266,RINGHALS 1                              ,SE  ,+57:15:00,+012:06:00,   10
 5267,RINGHALS                                ,SE  ,+57:15:36,+012:06:36,   10
 5268,OSKARSHAMN                              ,SE  ,+57:16:12,+016:24:36,   20
 5269,MOSSEN                                  ,SE  ,+57:16:48,+017:00:00,   10
 5270,GISLAVED                                ,SE  ,+57:16:48,+013:31:48,  165
 5271,HAGSHULTS_FLYGPLATS                     ,SE  ,+57:17:24,+014:08:24,  169
 5272,STORA_KARLSO                            ,SE  ,+57:17:24,+017:57:36,   40
 5274,OLANDS NORRA UDDE A                     ,SE  ,+57:22:12,+017:06:00,    2
 5275,HESTRA                                  ,SE  ,+57:23:24,+013:31:48,  220
 5276,ALLGUNNEN                               ,SE  ,+57:04:12,+015:58:12,  115
 5277,BUTTLE                                  ,SE  ,+57:24:00,+018:31:48,   45
 5278,NAVELSJO                                ,SE  ,+57:26:24,+014:53:24,  230
 5279,AMBJORNARP                              ,SE  ,+57:25:12,+013:16:48,  220
 5280,VETLANDA                                ,SE  ,+57:25:12,+015:04:12,  200
 5281,HERRVIK                                 ,SE  ,+57:25:12,+018:55:12,   13
 5282,OSTERGARNSHOLM_A                        ,SE  ,+57:26:24,+018:59:24,    5
 5283,OSTERGARN                               ,SE  ,+57:27:00,+018:58:48,    5
 5284,NAGLARP                                 ,SE  ,+57:28:12,+014:52:48,  250
 5285,ORBY                                    ,SE  ,+57:28:48,+012:42:00,   90
 5286,ROSSARED                                ,SE  ,+57:29:24,+012:12:00,   15
 5287,ROMA_V                                  ,SE  ,+57:29:24,+018:27:36,   35
 5288,TOMTABACKEN_A                           ,SE  ,+57:30:00,+014:28:12,  356
 5289,ROMA_AUT                                ,SE  ,+57:30:00,+018:27:36,   32
 5290,SANDSJOBACKA                            ,SE  ,+57:33:36,+012:02:24,   50
 5291,SPINKABO                                ,SE  ,+57:34:12,+014:28:12,  350
 5292,GODEBERG                                ,SE  ,+57:34:12,+014:37:48,  350
 5293,TRUBADUREN                              ,SE  ,+57:36:00,+011:38:24,    1
 5294,HASSLEBY                                ,SE  ,+57:37:48,+015:34:12,  140
 5295,VINGA                                   ,SE  ,+57:37:48,+011:36:36,   12
 5296,TOVEHULT                                ,SE  ,+57:38:24,+016:34:12,   25
 5297,NASSJO                                  ,SE  ,+57:38:24,+014:41:24,  305
 5298,FAGERHULT                               ,SE  ,+57:39:00,+013:14:24,  170
 5299,BOLLEBYGD                               ,SE  ,+57:39:36,+012:33:00,   65
 5300,VISBY_FLYGPLATS                         ,SE  ,+57:39:36,+018:20:24,   42
 5301,LANDVETTER_FLYGPLATS                    ,SE  ,+57:40:12,+012:18:00,  150
 5302,VIMMERBY                                ,SE  ,+57:40:12,+015:51:00,  110
 5303,FLAHULT                                 ,SE  ,+57:41:24,+014:09:00,  225
 5304,GLADHAMMAR_A                            ,SE  ,+57:42:36,+016:27:36,   35
 5305,TORSLANDA                               ,SE  ,+57:43:12,+011:46:48,    3
 5306,GUNNEBO                                 ,SE  ,+57:43:12,+016:31:48,   18
 5307,VASTERVIK                               ,SE  ,+57:47:24,+016:35:24,   35
 5308,DALSJOFORS                              ,SE  ,+57:43:12,+013:07:12,  257
 5309,PRASTKULLA                              ,SE  ,+57:43:12,+014:59:24,  290
 5310,JONKOPINGS_FLYGPLATS                    ,SE  ,+57:45:00,+014:04:12,  226
 5311,ULRICEHAMN                              ,SE  ,+57:46:12,+013:28:12,  175
 5312,RANGEDALA_A                             ,SE  ,+57:46:48,+013:10:12,  297
 5313,HUSKVARNA                               ,SE  ,+57:47:24,+014:17:24,   99
 5314,ANEBY                                   ,SE  ,+57:49:12,+014:53:24,  240
 5315,SAVE-SKALVISERED                        ,SE  ,+57:49:48,+011:55:12,   20
 5316,KARNA                                   ,SE  ,+57:50:24,+011:51:36,   21
 5317,RAMSJOHOLM                              ,SE  ,+57:50:24,+014:25:48,  225
 5318,STRANDVALLEN                            ,SE  ,+57:51:00,+014:16:48,  110
 5319,UDDABO                                  ,SE  ,+57:52:12,+012:42:36,  245
 5320,OGESTAD                                 ,SE  ,+57:52:12,+016:10:12,   81
 5321,HORN_A                                  ,SE  ,+57:53:24,+015:52:12,   90
 5322,LOMMARYD                                ,SE  ,+57:53:24,+014:43:48,  174
 5323,FARO                                    ,SE  ,+57:54:00,+019:09:36,   13
 5324,MULLSJO                                 ,SE  ,+57:55:12,+013:52:48,  270
 5325,FAROSUND_AR_A                           ,SE  ,+57:55:12,+018:57:36,   13
 5326,MOLLA                                   ,SE  ,+57:56:24,+013:04:12,  190
 5327,TINGHALLA                               ,SE  ,+57:58:12,+013:51:00,  240
 5328,ALVHEM                                  ,SE  ,+58:00:36,+012:09:00,    5
 5329,VARGARDA-HAGRUNGA                       ,SE  ,+58:01:12,+012:49:48,  148
 5330,TYLLINGE                                ,SE  ,+58:01:12,+016:04:47,  110
 5331,SABY                                    ,SE  ,+58:01:12,+011:36:00,   10
 5332,TRANAS_AUT                              ,SE  ,+58:01:48,+015:01:12,  185
 5333,MALEXANDER                              ,SE  ,+58:04:12,+015:14:24,  195
 5334,GRANNA                                  ,SE  ,+58:01:48,+014:28:12,  130
 5335,TRANAS                                  ,SE  ,+58:02:24,+014:59:24,  155
 5336,GARN                                    ,SE  ,+58:03:00,+012:09:36,   15
 5337,RORASTRAND                              ,SE  ,+58:03:36,+011:39:00,    5
 5338,MALEXANDER_A                            ,SE  ,+58:04:12,+015:14:24,  195
 5339,KYMBO_V                                 ,SE  ,+58:04:48,+013:45:36,  220
 5340,SIMONSTORP                              ,SE  ,+58:04:48,+013:24:00,  190
 5341,VISINGSO                                ,SE  ,+58:05:24,+014:24:00,  100
 5342,MASESKAR_A                              ,SE  ,+58:05:24,+011:19:48,   16
 5343,VISINGSO_A                              ,SE  ,+58:06:00,+014:24:36,   94
 5344,FALERUM                                 ,SE  ,+58:08:24,+016:12:36,   80
 5345,FALKOPING                               ,SE  ,+58:09:36,+013:32:24,  205
 5346,GENDALEN                                ,SE  ,+58:09:36,+012:39:00,   90
 5347,ASBRACKA-TORPABRON_V                    ,SE  ,+58:10:48,+012:09:00,   20
 5348,ATVIDABERG                              ,SE  ,+58:12:00,+016:00:36,  140
 5349,VALDEMARSVIK                            ,SE  ,+58:12:36,+016:34:47,   10
 5350,LJUNGSKILE                              ,SE  ,+58:13:12,+011:55:48,   70
 5351,LANGJUM                                 ,SE  ,+58:13:12,+013:03:36,   95
 5352,HOGSTENA                                ,SE  ,+58:13:48,+013:43:12,  211
 5353,HARSTENA                                ,SE  ,+58:15:00,+017:00:36,    5
 5354,BJARKA-SABY                             ,SE  ,+58:16:12,+015:44:24,   85
 5355,BORGUNDA                                ,SE  ,+58:17:24,+013:48:00,  181
 5356,HARSNAS                                 ,SE  ,+58:17:24,+015:14:24,  119
 5357,TROLLHATTAN                             ,SE  ,+58:18:00,+012:19:12,   42
 5358,TROLLHATTANS FLYGPLATS                  ,SE  ,+58:18:36,+012:19:48,   43
 5359,HALLUM_A                                ,SE  ,+58:19:12,+013:02:24,   70
 5360,HALLO                                   ,SE  ,+58:19:48,+011:13:12,   16
 5361,HOLMA                                   ,SE  ,+58:19:48,+016:49:12,    5
 5362,LANNA                                   ,SE  ,+58:21:00,+013:07:48,   80
 5363,UDDEVALLA                               ,SE  ,+58:22:12,+011:56:24,  100
 5364,VANERSBORG                              ,SE  ,+58:21:36,+012:21:36,   50
 5365,SMOGEN                                  ,SE  ,+58:21:36,+011:13:48,   20
 5366,SKARA-STENUM                            ,SE  ,+58:22:12,+013:31:12,  115
 5367,SKARA-VASTERSKOG                        ,SE  ,+58:22:48,+013:19:48,  115
 5368,OJEBRO                                  ,SE  ,+58:22:48,+015:12:00,   90
 5369,HERRBERGA                               ,SE  ,+58:23:24,+015:13:12,   90
 5370,SKOVDE                                  ,SE  ,+58:23:24,+013:50:24,  150
 5371,SKARA 1                                 ,SE  ,+58:24:00,+013:27:00,  115
 5372,SKARA                                   ,SE  ,+58:24:00,+013:27:00,  115
 5373,SKARA-EKEBERG                           ,SE  ,+58:24:00,+013:33:00,  115
 5374,ORBERGA                                 ,SE  ,+58:25:48,+014:49:48,  105
 5375,SATENAS_D                               ,SE  ,+58:26:24,+012:41:24,   55
 5376,VASTERLOSA                              ,SE  ,+58:26:24,+015:22:48,   75
 5377,REMNINGSTORP                            ,SE  ,+58:27:00,+013:40:12,  140
 5378,LIDKOPING                               ,SE  ,+58:31:48,+013:07:48,   52
 5379,SKARKIND                                ,SE  ,+58:29:24,+016:00:00,   49
 5380,KARLSBORG_MO                            ,SE  ,+58:31:12,+014:30:36,   95
 5381,BJORNEGARDEN                            ,SE  ,+58:31:12,+013:04:12,   75
 5382,DINGLE                                  ,SE  ,+58:31:48,+011:34:12,   20
 5383,MARVIKEN                                ,SE  ,+58:33:00,+016:49:12,   10
 5384,VADEROBOD                               ,SE  ,+58:33:00,+011:01:48,   22
 5385,VASTERPLANA                             ,SE  ,+58:33:36,+013:21:00,  128
 5386,SVARTEBORG                              ,SE  ,+58:34:12,+011:33:36,   70
 5387,AXSTAL_MO                               ,SE  ,+58:34:12,+014:34:12,   91
 5388,STORA_VADERO                            ,SE  ,+58:34:48,+011:04:12,   22
 5389,BALLEFORS                               ,SE  ,+58:34:48,+014:07:12,   90
 5390,NORRKOPING-SMHI                         ,SE  ,+58:34:48,+016:08:59,   21
 5391,NORRKOPING KUNSANGEN                    ,SE  ,+58:34:48,+016:14:23,    5
 5392,GUSTAF_DALEN_A                          ,SE  ,+58:35:24,+017:28:11,   25
 5393,ERIKSTAD-BERGARUD_V                     ,SE  ,+58:36:00,+012:25:12,   55
 5394,NORRKOPING                              ,SE  ,+58:36:36,+016:12:36,    3
 5395,KROPPEFJALL-GRANAN_A                    ,SE  ,+58:36:36,+012:12:00,  174
 5396,NORRKOPING-SORBY                        ,SE  ,+58:36:36,+016:07:12,   21
 5397,KVARN_MO                                ,SE  ,+58:37:48,+015:26:24,   72
 5398,HUD_V                                   ,SE  ,+58:37:48,+011:25:48,   80
 5399,ERIKSTAD                                ,SE  ,+58:38:24,+012:25:12,   65
 5400,FAGRE                                   ,SE  ,+58:39:00,+014:07:48,   85
